Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
GDP binding	127	2.76767E-16	8.03713933858268E-15	2.162027	141	0.005166349	108	0.017223359533333	1.218167	45	46	0.003106019
ribonucleoprotein complex binding	139	8.760051E-15	2.32424950273381E-13	2.053269	143	0.005239631	117	0.031583968957265	1.183996	58	61	0.004003313
deoxyribonuclease activity	196	8.434414E-10	1.58704687918367E-08	2.080739	86	0.003151107	116	0.029154323551724	1.216278	42	43	0.002898951
RNA methyltransferase activity	215	2.836871E-09	4.86622337116279E-08	2.156483	74	0.002711417	120	0.034044266066667	1.245237	31	31	0.002139702
ribonucleoprotein complex	32	3.32817E-140	1.315667203125E-138	2.094373	1416	0.05188334	26	3.55769378461538E-18	1.158268	586	630	0.04044727
ribosome	60	1.654458E-61	3.48814895E-60	2.368372	475	0.01740437	59	2.46304933898305E-05	1.144725	205	223	0.01414964
cytosolic part	73	2.973114E-40	5.15204001369863E-39	2.099026	399	0.01461967	93	0.005519578580645	1.113167	177	198	0.01221701
ribosomal subunit	77	2.171582E-38	3.567599E-37	2.409222	282	0.0103327	92	0.00491338375	1.136166	125	137	0.00862783
spliceosomal complex	78	4.363779E-38	7.07715440384615E-37	2.124748	366	0.01341052	45	3.71759886666667E-08	1.204808	149	154	0.01028437
catalytic step 2 spliceosome	91	4.842659E-30	6.73182817032967E-29	2.553635	195	0.007144951	62	0.000121341003548	1.213712	77	79	0.005314743
cytosolic ribosome	101	1.478107E-26	1.85129243069307E-25	2.384326	195	0.007144951	151	0.040149374238411	1.128496	87	96	0.00600497
midbody	102	1.81928E-26	2.25626392156863E-25	2.01093	285	0.01044262	49	1.05215729591837E-06	1.221291	102	104	0.007040309
Golgi-associated vesicle	110	2.476397E-24	2.84785655E-23	2.28926	193	0.007071669	86	0.002818655348837	1.20441	59	61	0.004072336
mitochondrial ribosome	114	1.722439E-23	1.9113029254386E-22	2.850595	124	0.004543456	106	0.00848858320283	1.199118	52	54	0.003589177
methyltransferase complex	122	2.906728E-21	3.01394337704918E-20	2.199044	182	0.006668621	76	0.001231344508553	1.207503	64	66	0.004417449
histone methyltransferase complex	123	8.776327E-21	9.02605988211382E-20	2.190968	179	0.006558699	78	0.001758020775641	1.206324	62	64	0.004279404
SWI/SNF superfamily-type complex	137	1.561423E-18	1.44175189416058E-17	2.132272	168	0.00615565	149	0.038686357348993	1.162222	56	60	0.003865268
endoplasmic reticulum-Golgi intermediate compartment	139	6.713334E-18	6.10961691366907E-17	2.012909	186	0.006815184	69	0.000239629683333	1.225781	63	64	0.004348426
nucleolar part	141	1.713487E-17	1.53727734397163E-16	2.908953	87	0.003187747	96	0.006060043114583	1.245237	35	35	0.002415792
mitochondrial intermembrane space	149	3.909763E-16	3.31936254697987E-15	2.36602	115	0.004213689	112	0.009667325397321	1.198247	51	53	0.003520155
Golgi-associated vesicle membrane	150	4.969293E-16	4.19077043E-15	2.367785	114	0.004177048	141	0.032621326560284	1.210648	35	36	0.002415792
cytoplasmic microtubule	153	1.219724E-15	1.00846461437909E-14	2.089443	146	0.005349553	112	0.009667325397321	1.198247	51	53	0.003520155
cell division site part	161	1.302258E-14	1.02320271428571E-13	2.146104	127	0.004653378	116	0.010000059461207	1.216278	42	43	0.002898951
cleavage furrow	164	1.95189E-14	1.50557368902439E-13	2.195242	119	0.004360252	83	0.002335142753012	1.245237	40	40	0.002760906
